信号日,名称,买入价,买入方式,股数,买入金额,卖出日,卖出时点,卖出价,卖出原因,毛盈亏,费用,净盈亏,账户现金,当时周期
2019-08-19,深华发A,11.37,挂涨停价排队·尾盘开缝成交,3100,35247,2019-08-20,尾盘14:50,11.58,没涨停→尾盘兑现,651,53.4,598,136431,主线期
2019-08-19,深圳能源,4.48656704,挂涨停价排队·尾盘开缝成交,5300,23779,2019-08-20,尾盘14:50,4.37,没涨停→尾盘兑现,-608,35.2,-643,159585,主线期
2019-08-20,哈药股份,4.37,挂涨停价排队·尾盘开缝成交,12100,52877,2019-08-21,尾盘14:50,4.39,没涨停→尾盘兑现,242,79.5,163,159787,平淡期
2019-08-21,拓日新能,3.15245775,挂涨停价排队·尾盘开缝成交,16800,52961,2019-08-22,尾盘14:50,3.17,没涨停→尾盘兑现,326,79.7,246,124702,恐慌期
2019-08-21,晶澳科技,5.6144629,挂涨停价排队·尾盘开缝成交,6300,35371,2019-08-22,尾盘14:50,5.63,没涨停→尾盘兑现,92,53.1,39,160138,恐慌期
2019-08-22,*ST西旅,9.67931193,挂涨停价排队·尾盘开缝成交,5500,53236,2019-08-23,尾盘14:50,9.67,没涨停→尾盘兑现,-55,79.8,-135,101191,平淡期
2019-08-22,*ST特迅,12.01225575,挂涨停价排队·尾盘开缝成交,2900,34836,2019-08-23,尾盘14:50,11.71,没涨停→尾盘兑现,-869,51.6,-920,135132,平淡期
2019-08-22,ST鼎龙,3.29,挂涨停价排队·尾盘开缝成交,7300,24017,2019-08-23,尾盘14:50,3.12,没涨停→尾盘兑现,-1241,35.1,-1276,157891,平淡期
2019-08-23,*ST紫鑫,6.37,挂涨停价排队·尾盘开缝成交,8200,52234,2019-08-26,尾盘14:50,6.69,没涨停→尾盘兑现,2624,80.3,2544,125326,平淡期
2019-08-23,鹏都农牧,1.74,挂涨停价排队·尾盘开缝成交,20200,35148,2019-08-26,尾盘14:50,1.91,没涨停→尾盘兑现,3434,55.3,3379,163879,平淡期
2019-08-26,盈趣科技,21.00898332,挂涨停价排队·尾盘开缝成交,2600,54623,2019-08-27,尾盘14:50,21.8,没涨停→尾盘兑现,2069,83.5,1986,105614,恐慌期
2019-08-26,东风科技,9.812385,挂涨停价排队·尾盘开缝成交,3700,36306,2019-08-28,次日早盘9:30,11.3,又涨停→隔夜后早盘兑现,5505,58.6,5446,113084,恐慌期
2019-08-26,千里科技,3.58,挂涨停价排队·尾盘开缝成交,6700,23986,2019-08-28,次日早盘9:30,4.33,又涨停→隔夜后早盘兑现,5025,39.7,4985,142073,恐慌期
2019-08-27,亿帆医药,12.7073618,挂涨停价排队·尾盘开缝成交,2700,34310,2019-08-28,尾盘14:50,12.34,没涨停→尾盘兑现,-991,50.7,-1041,175367,妖股期
2019-08-28,永泰能源,1.60974702,挂涨停价排队·尾盘开缝成交,36300,58434,2019-08-29,尾盘14:50,1.6,没涨停→尾盘兑现,-361,87.4,-448,110223,妖股期
2019-08-28,中央商场,3.51,挂涨停价排队·尾盘开缝成交,11100,38961,2019-08-29,尾盘14:50,3.4,没涨停→尾盘兑现,-1221,57.5,-1279,147934,妖股期
2019-08-28,南京熊猫,11.71791075,挂涨停价排队·尾盘开缝成交,2200,25779,2019-08-29,尾盘14:50,11.36,没涨停→尾盘兑现,-784,38.1,-823,172910,妖股期
2019-08-29,石基信息,13.67408174,挂涨停价排队·尾盘开缝成交,4200,57431,2019-08-30,尾盘14:50,13.25,没涨停→尾盘兑现,-1784,84.8,-1869,134083,平淡期
2019-08-29,*ST湘邮,17.62,挂涨停价排队·尾盘开缝成交,2100,37002,2019-08-30,尾盘14:50,17.22,没涨停→尾盘兑现,-840,54.9,-895,170218,平淡期
2019-08-30,航天发展,10.7555144,挂涨停价排队·尾盘开缝成交,5200,55929,2019-09-03,次日早盘9:30,11.96,又涨停→隔夜后早盘兑现,6254,88.6,6166,113487,平淡期
2019-09-02,中国长城,11.52134676,挂涨停价排队·尾盘开缝成交,3300,38020,2019-09-03,尾盘14:50,12.41,没涨停→尾盘兑现,2917,59.2,2858,154394,平淡期
2019-09-02,神州信息,11.3260165,挂涨停价排队·尾盘开缝成交,2200,24917,2019-09-03,尾盘14:50,11.45,没涨停→尾盘兑现,282,37.6,244,179574,平淡期
2019-09-03,大唐电信,11.67,挂涨停价排队·尾盘开缝成交,3400,39678,2019-09-04,尾盘14:50,11.58,没涨停→尾盘兑现,-306,59.3,-365,119993,平淡期
2019-09-03,电光科技,7.69425624,挂涨停价排队·尾盘开缝成交,7700,59246,2019-09-05,次日早盘9:30,9.28,又涨停→隔夜后早盘兑现,12236,98.0,12137,125233,平淡期
2019-09-04,荣安地产,2.10927948,挂涨停价排队·尾盘开缝成交,18900,39865,2019-09-05,尾盘14:50,2.09,没涨停→尾盘兑现,-407,59.5,-466,164662,平淡期
2019-09-04,先导基电,9.74914488,挂涨停价排队·尾盘开缝成交,2700,26323,2019-09-05,尾盘14:50,9.58,没涨停→尾盘兑现,-464,39.1,-503,190501,平淡期
2019-09-05,世嘉科技,29.44110114,挂涨停价排队·尾盘开缝成交,2100,61826,2019-09-06,尾盘14:50,29.38,没涨停→尾盘兑现,-126,92.6,-218,119834,平淡期
2019-09-05,麦格米特,21.92867775,挂涨停价排队·尾盘开缝成交,1900,41664,2019-09-06,尾盘14:50,21.93,没涨停→尾盘兑现,0,62.5,-62,161467,平淡期
2019-09-05,退市西水,9.3,挂涨停价排队·尾盘开缝成交,3100,28830,2019-09-06,尾盘14:50,9.66,没涨停→尾盘兑现,1116,44.1,1072,191391,平淡期
2019-09-06,沃格光电,15.4789344,挂涨停价排队·尾盘开缝成交,4100,63464,2019-09-09,尾盘14:50,15.95,没涨停→尾盘兑现,1940,96.7,1843,193282,平淡期
2019-09-09,ST合力泰,6.45859489,挂涨停价排队·尾盘开缝成交,6600,42627,2019-09-10,尾盘14:50,6.44,没涨停→尾盘兑现,-131,63.8,-195,100951,平淡期
2019-09-09,榕基软件,9.06139377,挂涨停价排队·尾盘开缝成交,3100,28090,2019-09-10,尾盘14:50,8.73,没涨停→尾盘兑现,-1020,41.4,-1061,128002,平淡期
2019-09-09,延华智能,4.03,挂涨停价排队·尾盘开缝成交,15900,64077,2019-09-11,次日早盘9:30,4.5,又涨停→隔夜后早盘兑现,7473,101.7,7371,156935,平淡期
2019-09-10,晶方科技,8.86724352,挂涨停价排队·尾盘开缝成交,4800,42563,2019-09-11,尾盘14:50,8.36,没涨停→尾盘兑现,-2452,62.0,-2514,197016,平淡期
2019-09-12,ST惠程,9.2,挂涨停价排队·尾盘开缝成交,7100,65320,2019-09-16,尾盘14:50,9.11,没涨停→尾盘兑现,-639,97.5,-737,123562,平淡期
2019-09-12,中超控股,3.0525514,挂涨停价排队·尾盘开缝成交,14300,43651,2019-09-16,尾盘14:50,2.96,没涨停→尾盘兑现,-1267,64.5,-1332,165914,平淡期
2019-09-12,峰璟股份,3.03285039,挂涨停价排队·尾盘开缝成交,9600,29115,2019-09-16,尾盘14:50,3.15,没涨停→尾盘兑现,1144,44.5,1099,196150,平淡期
2019-09-17,科力尔,10.91128372,挂涨停价排队·尾盘开缝成交,5900,64377,2019-09-18,尾盘14:50,10.46,没涨停→尾盘兑现,-2646,94.6,-2740,120784,恐慌期
2019-09-17,佛燃能源,5.80464429,挂涨停价排队·尾盘开缝成交,7500,43535,2019-09-18,尾盘14:50,5.64,没涨停→尾盘兑现,-1269,64.4,-1333,163018,恐慌期
2019-09-17,退市海医,4.7,挂涨停价排队·尾盘开缝成交,6200,29140,2019-09-19,次日早盘9:30,5.5,又涨停→隔夜后早盘兑现,4960,47.4,4913,197092,恐慌期
2019-09-19,中光学,24.2639692,挂涨停价排队·尾盘开缝成交,2700,65513,2019-09-20,尾盘14:50,23.96,没涨停→尾盘兑现,-809,97.7,-907,152763,平淡期
